Name,Organization,Project
Ajay Arasanipalai,The LLVM Compiler Infrastructure,"Modernize the LLVM ""Building A JIT"" Tutorial Series"
Sidharth Mundhra,SymPy,Improving Series Expansions
Zyad Ali,gVisor,System V Message Queues
Dinesh Chidipothu,Zulip,Work on Message view events and Authentication issues.
Jack FENG,Halide,Performance Tracking in CI
Pranav Bhatt,JBoss Community,CoAP protocol endpoint for Drogue IoT
Mritunjay Sharma,CNCF,Cloud Native Buildpacks [CNCF] Project: Automatic Buildpack Registry Action Updates
Mohamed Soudy-1,National Resource for Network Biology (NRNB),Adding Multi-omics data support to ABioTrans Plus
Varun Tiwari,Digital Impact Alliance (DIAL) at UN Foundation,ODK-X: Improving Services User-Interface
Mohit Singh,Casbin,dart-casbin
Mark Joseph Kuebel,Gentoo Foundation,Catalyst Crosscompiling and Revamp
Bruno Messias,Python Software Foundation,A system for collaborative visualization of large network layouts using FURY and sockets.io
Midhun Suresh R,Matrix.org,Right Sidebar for Hydrogen client
Priyam Seth,Zulip,Improving the compose box and the user interface of Zulip web
Avinal,FOSSology,New Build System and improving CI/CD workflow
Arvind Ganesh,The Julia Language,"Pythia – a framework for modular, scalable time-series forecasting"
Michał Łukomski,The Julia Language,MuZero implementation
Aditi Sawant,Mayor's Office of New Urban Mechanics (City of Boston),Urban Tree Canopy Detection Using Satellite and Aerial Imagery
Keisuke Nishimura,The Linux Foundation,Examining the Coccinelle’s Handleability of All Function Headers Found in the Linux Kernel
Muhammed Suhail A H,Python Software Foundation,Building checkers/mappings for known package lists
Yu-Shiang Dang,The Honeynet Project,New Rule Generation Technique & Make Quark Everywhere Among Security Open Source Projects
Gaurav Pandey (ligmitz),Zulip,Proposal for Zulip - GSoC 2021
Michail Raptakis,Libre Space Foundation,SatNOGS TX capabilities
Dinesh Sathia Raj,INCF,Eye Tracking
Suraj Kumar-3,Boost C++ Libraries,Benchmarking and improving Boost.Real
Suyash Vardhan Mathur,Zulip,Enhancing Zulip API Documentation
Atharva Arya,TARDIS SN,Real-Time Simulation Tracking and a Dedicated Logging Framework for TARDIS
Ashwin M,Open Chemistry,DeepChem Retrosynthesis
Nived,TensorFlow,Improving TensorFlow GAN Library
Sean Ng,FreeBSD Project,Netlink proposal
Nitik Jain,INCF,Project 6.4: Development of Open-Source Biorobotics Framework
Nitesh Mahawar,Red Hen Lab,Multimodal TV Show Segmentation
Bogdan Grigoruță,QEMU,Mocking framework for virtio queues
